path,layer,language,purpose,imports,imported_by_references,runtime_usage,test_usage,docker_usage,makefile_usage,ci_usage,documentation_usage,dynamic_loading_risk,generated_or_handwritten,current_owner_responsibility,proposed_action,reason,deletion_confidence
apps/web/src/features/recognition/components/RecognitionWorkspace.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.","[""../../../shared/ui/Button"", ""../../../shared/ui/SkipLink"", ""../domain/automatic-segmentation"", ""../domain/build-recognition-payload"", ""../domain/landmarks"", ""../hooks/useCameraPermission"", ""../hooks/useCameraStream"", ""../hooks/useHolisticLandmarker"", ""../hooks/useSignSpeech"", ""../services/recognition-api"", ""../state/recognition-flow"", ""./CameraPermissionPanel"", ""./CameraPreview"", ""lucide-react"", ""react""]","[""apps/web/src/features/recognition/components/RecognitionPage.tsx"", ""apps/web/src/features/recognition/tests/components.test.tsx"", ""apps/web/src/features/recognition/tests/workspace-flow.test.tsx""]",True,True,False,False,False,True,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/domain/automatic-segmentation.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""../state/recognition-flow"", ""./landmarks"", ""./normalize-landmarks"", ""./resample-landmark-sequence""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx"", ""apps/web/src/features/recognition/tests/automatic-segmentation.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/domain/build-recognition-payload.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""../state/recognition-flow"", ""./landmarks"", ""./normalize-landmarks"", ""./recognition-contract"", ""./resample-landmark-sequence"", ""./sequence-quality""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx"", ""apps/web/src/features/recognition/tests/sequence.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/domain/landmarks.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.",[],"[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx"", ""apps/web/src/features/recognition/domain/automatic-segmentation.ts"", ""apps/web/src/features/recognition/domain/build-recognition-payload.ts"", ""apps/web/src/features/recognition/domain/normalize-landmarks.ts"", ""apps/web/src/features/recognition/domain/recognition-contract.ts"", ""apps/web/src/features/recognition/domain/sequence-quality.ts"", ""apps/web/src/features/recognition/hooks/useHolisticLandmarker.ts"", ""apps/web/src/features/recognition/services/holistic.ts"", ""apps/web/src/features/recognition/state/recognition-flow.ts"", ""apps/web/src/features/recognition/tests/sequence.test.ts"", ""apps/web/src/features/recognition/tests/workspace-flow.test.tsx""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/domain/normalize-landmarks.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""./landmarks"", ""./recognition-contract""]","[""apps/web/src/features/recognition/domain/automatic-segmentation.ts"", ""apps/web/src/features/recognition/domain/build-recognition-payload.ts"", ""apps/web/src/features/recognition/tests/sequence.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/domain/recognition-contract.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""../state/recognition-flow"", ""./landmarks""]","[""apps/web/src/features/recognition/domain/build-recognition-payload.ts"", ""apps/web/src/features/recognition/domain/normalize-landmarks.ts"", ""apps/web/src/features/recognition/domain/sequence-quality.ts"", ""apps/web/src/features/recognition/services/recognition-api.ts"", ""apps/web/src/features/recognition/tests/sequence.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/domain/resample-landmark-sequence.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.",[],"[""apps/web/src/features/recognition/domain/automatic-segmentation.ts"", ""apps/web/src/features/recognition/domain/build-recognition-payload.ts"", ""apps/web/src/features/recognition/tests/sequence.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/domain/sequence-quality.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""./landmarks"", ""./recognition-contract""]","[""apps/web/src/features/recognition/domain/build-recognition-payload.ts"", ""apps/web/src/features/recognition/tests/sequence.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/hooks/useCameraPermission.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""../services/camera-errors"", ""../services/camera.types"", ""react""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/hooks/useCameraStream.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""../services/camera"", ""react""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/hooks/useHolisticLandmarker.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""../domain/landmarks"", ""../services/holistic"", ""react""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/hooks/useSignSpeech.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""../services/browser-speech"", ""../services/speech-api"", ""../state/recognition-flow"", ""react""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/index.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""./components/RecognitionPage""]","[""apps/web/src/app/routes.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/services/browser-speech.ts,frontend,TypeScript,Application orchestration or external service boundary.,[],"[""apps/web/src/features/recognition/hooks/useSignSpeech.ts"", ""apps/web/src/features/recognition/tests/browser-speech.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/services/camera-errors.ts,frontend,TypeScript,Application orchestration or external service boundary.,"[""./camera.types""]","[""apps/web/src/features/recognition/hooks/useCameraPermission.ts"", ""apps/web/src/features/recognition/services/camera.ts"", ""apps/web/src/features/recognition/tests/camera-errors.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/services/camera.ts,frontend,TypeScript,Application orchestration or external service boundary.,"[""../../../shared/config/env"", ""./camera-errors""]","[""apps/web/src/features/recognition/hooks/useCameraStream.ts""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/services/camera.types.ts,frontend,TypeScript,Application orchestration or external service boundary.,[],"[""apps/web/src/features/recognition/hooks/useCameraPermission.ts"", ""apps/web/src/features/recognition/services/camera-errors.ts""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/services/holistic.ts,frontend,TypeScript,Application orchestration or external service boundary.,"[""../../../shared/config/env"", ""../domain/landmarks"", ""@mediapipe/tasks-vision""]","[""apps/web/src/features/recognition/hooks/useHolisticLandmarker.ts"", ""apps/web/src/features/recognition/tests/automatic-segmentation.test.ts"", ""apps/web/src/features/recognition/tests/sequence.test.ts"", ""apps/web/src/features/recognition/tests/workspace-flow.test.tsx""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/services/recognition-api.ts,frontend,TypeScript,Application orchestration or external service boundary.,"[""../../../shared/api/client"", ""../domain/recognition-contract"", ""../state/recognition-flow""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx"", ""apps/web/src/features/recognition/tests/recognition-api-errors.test.ts""]",True,True,False,False,False,True,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/services/speech-api.ts,frontend,TypeScript,Application orchestration or external service boundary.,"[""../../../shared/api/client""]","[""apps/web/src/features/recognition/hooks/useSignSpeech.ts""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/state/recognition-flow.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""../domain/landmarks""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx"", ""apps/web/src/features/recognition/domain/automatic-segmentation.ts"", ""apps/web/src/features/recognition/domain/build-recognition-payload.ts"", ""apps/web/src/features/recognition/domain/recognition-contract.ts"", ""apps/web/src/features/recognition/hooks/useSignSpeech.ts"", ""apps/web/src/features/recognition/services/recognition-api.ts"", ""apps/web/src/features/recognition/tests/automatic-segmentation.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/test-fixtures/word-recognition-v1-valid.json,frontend,JSON,"Configuration, manifest, fixture, or generated evidence.",[],"[""apps/web/src/features/recognition/tests/sequence.test.ts""]",False,True,False,False,False,True,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/automatic-segmentation.test.ts,frontend,TypeScript,Automated verification or deterministic test fixture.,"[""../domain/automatic-segmentation"", ""../services/holistic"", ""../state/recognition-flow"", ""vitest""]",[],False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/browser-speech.test.ts,frontend,TypeScript,Automated verification or deterministic test fixture.,"[""../services/browser-speech"", ""vitest""]",[],False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/camera-errors.test.ts,frontend,TypeScript,Automated verification or deterministic test fixture.,"[""../services/camera-errors"", ""vitest""]",[],False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/components.test.tsx,frontend,TypeScript/React,Automated verification or deterministic test fixture.,"[""../components/CameraPermissionPanel"", ""../components/CameraPreview"", ""../components/RecognitionWorkspace"", ""@testing-library/react"", ""@testing-library/user-event"", ""vitest""]",[],False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/fixtures/schema-v1-expected.json,frontend,JSON,Automated verification or deterministic test fixture.,[],"[""apps/web/src/features/recognition/tests/sequence.test.ts""]",False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/fixtures/schema-v1-input.json,frontend,JSON,Automated verification or deterministic test fixture.,[],"[""apps/web/src/features/recognition/tests/sequence.test.ts""]",False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/recognition-api-errors.test.ts,frontend,TypeScript,Automated verification or deterministic test fixture.,"[""../../../shared/api/client"", ""../services/recognition-api"", ""vitest""]",[],False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/sequence.test.ts,frontend,TypeScript,Automated verification or deterministic test fixture.,"[""../domain/build-recognition-payload"", ""../domain/landmarks"", ""../domain/normalize-landmarks"", ""../domain/recognition-contract"", ""../domain/resample-landmark-sequence"", ""../domain/sequence-quality"", ""../services/holistic"", ""../test-fixtures/word-recognition-v1-valid.json"", ""./fixtures/schema-v1-expected.json"", ""./fixtures/schema-v1-input.json"", ""vitest""]",[],False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/tests/workspace-flow.test.tsx,frontend,TypeScript/React,Automated verification or deterministic test fixture.,"[""../components/RecognitionWorkspace"", ""../domain/landmarks"", ""../services/holistic"", ""@testing-library/react"", ""react"", ""vitest""]",[],False,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/main.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.","[""./app/App"", ""react"", ""react-dom/client""]",[],True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/shared/api/client.ts,frontend,TypeScript,HTTP routing and public/internal request handling.,"[""../config/env""]","[""apps/web/src/features/recognition/services/recognition-api.ts"", ""apps/web/src/features/recognition/services/speech-api.ts"", ""apps/web/src/features/recognition/tests/recognition-api-errors.test.ts""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/shared/config/env.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.",[],"[""apps/web/src/features/recognition/services/camera.ts"", ""apps/web/src/features/recognition/services/holistic.ts"", ""apps/web/src/shared/api/client.ts""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/shared/ui/Button.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.","[""react""]","[""apps/web/src/features/recognition/components/CameraPermissionPanel.tsx"", ""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/shared/ui/SkipLink.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.",[],"[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/styles/index.css,frontend,CSS,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/test/setup.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/vite-env.d.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/tailwind.config.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""tailwindcss""]",[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/tests/e2e/recognition-camera.spec.ts,frontend,TypeScript,Automated verification or deterministic test fixture.,"[""@playwright/test""]",[],False,True,False,False,False,True,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/tsconfig.json,frontend,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/tsconfig.node.json,frontend,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/vite.config.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""@vitejs/plugin-react"", ""vitest/config""]",[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/datasets/manifest.json,repository-governance,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/datasets/mosl-word-isolated-v1/manifest.json,repository-governance,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/datasets/mosl-word-smoke-preprocess.jsonl,repository-governance,Other,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/datasets/sequences.json,repository-governance,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/datasets/statistics.json,repository-governance,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/datasets/validation-report.json,repository-governance,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidate-benchmark.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidates/all_min5/bidirectional_gru/training-result.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidates/all_min5/lightweight_transformer/training-result.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidates/all_min5/temporal_conv_gru/training-result.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidates/bidirectional_gru/training-result.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidates/lexical_min5/bidirectional_gru/training-result.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidates/lexical_min5/lightweight_transformer/training-result.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidates/lexical_min5/temporal_conv_gru/training-result.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
artifacts/models/mosl-isolated-sign-v1/candidates/lightweight_transformer/training-result.json,repository-governance,JSON,"Domain, persistence, or model-runtime representation.",[],[],False,False,False,False,False,False,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
